Date,BAC,JPM,WFC,C,GS,MS,USB,TFC,PNC,TD,FITB,KEY,MTB,HBAN,CFG,RF,BK,STT,ALLY,NYCB,,
9/19/23,28.76,149.5,43.549999,42.790001,343.459991,88.779999,34.560001,28.709999,125.110001,84.019997,27.18,11.4,127.150002,10.61,27.4,17.860001,44.810001,71.309998,28.700001,11.56,,
9/20/23,28.809999,149.649994,43.400002,42.950001,342.609985,88.830002,34.75,28.99,125.209999,83.669998,27.15,11.36,127.5,10.69,27.879999,18.120001,44.360001,71.029999,28.629999,11.68,,
9/21/23,28.360001,147.580002,42.75,42.060001,334.5,86.339996,34.290001,28.73,123.089996,83.080002,26.65,10.99,126.209999,10.42,27.290001,17.75,43.540001,69.230003,27.370001,11.23,,
9/22/23,28.07,147.289993,42.330002,41.75,330.100006,85.230003,33.450001,28.309999,122.43,82.620003,26.459999,10.78,126.309998,10.41,26.99,17.440001,43.200001,68.900002,27.040001,11.14,,
9/25/23,27.5,145.350006,40.880001,40.75,327.070007,82.629997,33.209999,27.889999,120.370003,82.220001,25.700001,10.55,123.639999,10.3,26.469999,17.030001,42.439999,67.230003,26.66,11,,
9/26/23,27.34,144.600006,41.049999,40.669998,325.609985,82.080002,33.209999,28.48,121.309998,81.370003,25.58,10.45,123.860001,10.29,26.25,17.09,42.5,66.949997,26.51,11.2,,
9/27/23,27.23,145.190002,40.630001,40.290001,324.980011,82.410004,33.139999,28.450001,121.879997,82.099998,25.41,10.44,123.82,10.21,25.98,16.92,42.439999,67.050003,26.41,11.31,,
9/28/23,27.17,146.279999,40.84,40.48,320.209991,81.480003,32.099998,27.959999,121.980003,81.720001,24.530001,10.24,124.5,10.17,25.780001,16.870001,42.169998,66.82,26.41,11.35,,
9/29/23,27.889999,148.600006,41.200001,41.450001,327.200012,83.010002,32.560001,28.389999,123.959999,81.650002,25.280001,10.68,126.540001,10.29,26.6,17.25,43,67.379997,26.790001,11.22,,
10/2/23,27.27,144.830002,40.700001,40.990002,322.029999,81.099998,32.619999,28.5,122.019997,82.68,25.360001,10.63,126.68,10.4,26.68,17.08,42.59,66.82,26.58,11.32,,
10/3/23,26.49,143.199997,39.380001,40.200001,315.269989,79.580002,31.889999,27.389999,120.629997,82.080002,24.309999,10.34,121.379997,9.98,25.75,16.389999,41.529999,65.449997,25.459999,10.97,,
10/4/23,25.879999,143.190002,38.509998,39.689999,304.850006,78.099998,31.4,27.309999,119.669998,79.889999,24.01,10.23,120.760002,9.85,25.59,16.459999,41.310001,64.809998,24.940001,10.75,,
10/5/23,25.780001,142.039993,38.759998,39.619999,307.359985,78.480003,31,26.76,119.330002,79.699997,23.9,10.11,122.309998,9.83,25.450001,16.290001,40.93,64.019997,24.639999,10.84,,
10/6/23,25.77,142.910004,38.889999,39.68,308.109985,78.720001,31.540001,26.969999,119.599998,78.620003,24.059999,10.12,121.760002,9.94,25.58,16.35,41.549999,64.160004,24.77,10.98,,
10/9/23,25.76,143.660004,39.110001,40.18,308.899994,79.599998,31.59,26.940001,119.410004,79.349998,23.99,10.03,123.389999,9.96,25.6,16.389999,41.639999,64.5,24.98,10.94,,
10/10/23,26.610001,145.419998,39.919998,41.139999,314.470001,80.25,32.48,29.370001,122.089996,79.870003,24.6,10.32,126.400002,10.19,26.6,16.59,42.169998,65.370003,25.77,10.96,,
10/11/23,27.17,146.509995,40.009998,41.639999,315.429993,79.910004,32.59,29.34,123.07,80.949997,25.059999,10.52,126.599998,10.25,26.85,16.549999,42.18,65.440002,24.99,10.92,,
10/12/23,26.969999,146.300003,39.689999,41.400002,314.149994,78.870003,32.540001,29.459999,122.910004,81.309998,25.049999,10.51,125.419998,10.17,26.799999,16.52,42.32,65.580002,25.5,10.93,,
10/13/23,27.43,148.5,40.830002,42.959999,312,78.199997,32.529999,29.25,120.650002,81.18,24.76,10.72,124.989998,10.12,26.66,16.459999,41.439999,64.760002,24.84,10.71,,
10/16/23,27.16,149.449997,41.470001,41.950001,313.179993,78.790001,32.580002,28.860001,117.919998,80.660004,24.639999,10.68,121.790001,10.07,26.08,16.219999,41.540001,64.959999,24.9,10.63,,
10/17/23,27.049999,147.570007,41.43,40.650002,313.380005,77.989998,32.459999,28.559999,117.760002,80.82,24.469999,10.62,121.720001,10.13,26.030001,16.440001,41,64.879997,24.82,10.67,,
10/18/23,27.540001,146.589996,41.700001,40.939999,307,76.43,34.66,29.469999,118.089996,81.43,25.030001,10.85,124.440002,10.28,25.709999,16.67,43.310001,69,25.33,10.71,,
10/19/23,27.25,145.479996,41.48,40.259998,301.959991,74.870003,33.32,29.15,115.099998,80.330002,24.75,10.9,121.419998,10.1,25.610001,16.68,43.25,68.720001,25.34,10.47,,
10/20/23,26.799999,144.570007,41.049999,39.970001,298.5,73.120003,32.619999,28.040001,115.800003,79.400002,24.9,10.44,119.290001,9.62,24.75,14.47,42.049999,66.040001,24.360001,10.4,,
10/23/23,26.129999,142.940002,40.259998,39.580002,298.290009,72.730003,31.200001,27.02,111.410004,78.220001,23.23,9.82,113.639999,9.68,23.860001,14.25,41.549999,64.779999,23.83,10.02,,
10/24/23,25.74,141.190002,39.619999,38.919998,300,71.75,31.41,27.059999,110.199997,78.809998,23.18,9.95,112.089996,9.62,23.700001,14.22,41.57,64.43,23.41,10.14,,
10/25/23,25.379999,140.570007,39.07,38.700001,298.600006,71.25,31.08,27.67,110.580002,76.589996,22.799999,9.69,110.970001,9.45,23.120001,14.05,41.59,64.209999,22.540001,10.15,,
10/26/23,25.49,139.759995,39.02,38.5,296.959991,71.470001,31.34,27.879999,111.239998,76.919998,23.1,9.79,111.589996,9.5,23.620001,14.09,41.439999,64.040001,23.450001,10.17,,
10/27/23,26.07,138.949997,39.380001,39.330002,297.549988,71.910004,31.299999,28.35,113.650002,77.540001,23.639999,10.18,112.110001,9.69,23.59,14.29,41.98,64.160004,23.66,9.72,,
10/30/23,25.32,136.440002,39.099998,38.549999,293.450012,70.050003,30.959999,27.879999,112.199997,76.669998,23.15,10.06,110.769997,9.59,23.129999,14.19,42.099998,63.450001,23.76,9.37,,
10/31/23,25.74,137.710007,39.639999,39.040001,301.679993,70.769997,31.450001,28.219999,113.370003,77.550003,23.389999,10.09,112.419998,9.56,23.07,14.31,42.32,63.66,23.639999,9.6,,
11/1/23,26.440001,139.25,39.959999,39.540001,303.329987,71.169998,31.870001,28.379999,114.75,77.790001,23.65,10.2,112.139999,9.61,23.459999,14.5,42.5,64.809998,24.139999,9.48,,
11/2/23,26.709999,140.089996,39.740002,39.990002,309.690002,71.68,32.43,29.02,114.510002,78.129997,24.059999,10.25,113.209999,9.75,23.6,14.69,43.599998,65.5,24.719999,9.59,,
11/3/23,28.16,142.190002,41.169998,41.560001,318.459991,74.589996,35.310001,30.85,122.120003,80.480003,25.799999,11.38,121.339996,10.53,26.01,15.86,44.91,67.779999,26.58,9.9,,
11/6/23,28.559999,143.169998,41.790001,42.369999,326.660004,76.68,35.650002,31.299999,123.220001,81.230003,26.450001,11.69,122.370003,10.64,26.290001,15.76,45.32,67.910004,27.15,9.75,,
11/7/23,28.049999,143.509995,41.18,41.700001,322.130005,75.860001,35.09,30.5,120.93,81.150002,25.99,11.16,120.989998,10.46,25.629999,15.37,44.689999,66.839996,26.34,9.65,,
11/8/23,28.16,144.110001,41.07,41.849998,323.950012,75.449997,34.849998,30.49,120.769997,80.760002,26.24,11.32,120.93,10.46,25.83,15.32,44.73,66.410004,26.290001,9.66,,
11/9/23,28.07,145.440002,41.299999,42.080002,326,75.68,34.740002,29.98,120.910004,81.370003,25.620001,11.32,119.860001,10.38,25.76,15.33,45.419998,67.07,26.23,9.49,,
11/10/23,27.76,144.940002,40.630001,41.700001,323.320007,74.660004,34.18,29.299999,120.510002,81.68,24.889999,10.99,117.870003,10.24,25.200001,15.1,45.32,66.949997,25.790001,9.27,,
11/13/23,27.540001,145.699997,40.740002,41.959999,324.160004,74.75,34.029999,29.120001,119.879997,81.949997,24.860001,10.9,117.620003,10.19,25,14.97,45.32,67.160004,25.440001,9.19,,
11/14/23,28.5,146.679993,41.5,43.110001,333.529999,76.68,35.200001,30.32,122.75,83.349998,25.969999,11.38,119.980003,10.6,25.969999,15.51,46,68.220001,26.43,9.01,,
11/15/23,29.200001,148.460007,42.07,44.48,339.899994,78.57,36.209999,31.120001,126.589996,84.010002,26.629999,11.98,123.410004,10.83,26.6,15.95,46.57,68.93,27.1,9.12,,
11/16/23,29.43,150.089996,42.82,44.759998,337.76001,79.980003,37.049999,31.77,128.899994,83.75,27.309999,12.14,125.059998,11,27.33,16.17,46.549999,69.589996,27.65,9.32,,
